id,name,type,url,vegan,meat,seafood,raw,spice,(해당: 1),,,,,,,,,,
101,감성타코 건대점,5,https://www.instagram.com/explore/locations/173992206738066/,0,1,1,0,0,,,,,,,,한식,6,,채식
102,로니로티 건대점,4,https://www.instagram.com/explore/locations/817147155113964/,0,1,1,0,0,,,,,,,,중식,3,,육류
103,호야초밥참치 본점,3,https://www.instagram.com/explore/locations/238658949/,0,0,1,1,0,,-> 왜 속눈썹이 나오나요?ㅠㅠ,,,,,,일식,4,,해산물
104,하이디라오 건대지점,2,https://www.instagram.com/explore/locations/1648778858548016/,,1,1,0,1,,,,,,,,양식,4,,날 것
105,성수명당,5,https://www.instagram.com/explore/locations/101201404756691/,0,1,1,1,0,,-> 여기 건대인가요?!?! -> 이름은 성수이지만.. 건대에 가까운..,,,,,,기타,2,,향신료
106,우마이도 건대점,3,https://www.instagram.com/explore/locations/249742247/,0,1,0,0,0,,,,,,,,합계,19,,
107,뽕사부,2,https://www.instagram.com/explore/locations/117532079650009/,0,0,1,0,0,,-> 왜 강아지 사진이 더 많나요?ㅠㅠ,,,,,,,,,
108,소신이쏘 건대점,1,https://www.instagram.com/explore/locations/473487546761531/,0,1,0,0,0,,,,,,,,,,,
109,도쿄스테이크 건대점,3,https://www.instagram.com/explore/locations/928830752/,0,1,0,0,0,,,,,,,,,,,
110,스시오 건대점,3,https://www.instagram.com/explore/locations/242861448/,0,0,1,1,0,,,,,,,,,,,
111,고기굽는놈,1,https://www.instagram.com/explore/locations/984228885104690/,0,1,0,0,0,,,,,,,,,,,
112,라화쿵부 건대점,2,https://www.instagram.com/explore/locations/575589675/,0,1,0,0,1,,,,,,,,,,,
113,마초쉐프 건대점,4,https://www.instagram.com/explore/locations/306197529788843/,0,1,0,0,0,,,,,,,,,,,
114,아찌떡볶이,1,https://www.instagram.com/explore/locations/616585/,0,0,0,0,0,,,,,,,,,,,
115,육일관,1,https://www.instagram.com/explore/locations/471929333549182/,0,1,0,0,0,,,,,,,,,,,
116,송림식당,1,https://www.instagram.com/explore/locations/254641857/,0,1,0,0,0,,,,,,,,,,,
117,돕감자탕전문점,1,https://www.instagram.com/explore/locations/1069755/,0,1,0,0,0,,,,,,,,한1 중2 일3 양4 기5 6디,,,
118,래빗홀 버거컴퍼니,4,https://www.instagram.com/explore/locations/162603951114246/,0,1,0,0,0,,,,,,,,,,,
119,비에이치테이블,4,https://www.instagram.com/explore/locations/2327608097452777/,0,1,0,0,0,,,,,,,,,,,
120,포비,3,https://www.instagram.com/explore/locations/806217953/,0,1,1,0,0,,>> 이선,,,,,,,,,
121,뱃놈,1,https://www.instagram.com/explore/locations/1033049164/,0,0,1,0,0,,,,,,,,,,,
122,시홍쓰,2,https://www.instagram.com/explore/locations/107295000944903/,0,1,0,0,1,,,,,,,,,,,
123,미식반점,2,https://www.instagram.com/explore/locations/101124838149001/,0,1,1,0,0,,,,,,,,,,,
124,뉴웨이브서울,4,https://www.instagram.com/explore/locations/102440492272691/new-wave-seoul-/,0,1,1,1,0,,,,,,,,,,,
201,성수삐딱,1,https://www.instagram.com/explore/locations/102957328689391/,0,0,1,1,0,,,,,,,,한식,3,,
202,성수미옥,5,https://www.instagram.com/explore/locations/100978635230023/,0,1,1,1,0,,,,,,,,중식,1,,
203,진작다이닝,3,https://www.instagram.com/explore/locations/100275338756464/,0,1,1,1,0,,,,,,,,일식,5,,
204,제스티살룬,4,https://www.instagram.com/explore/locations/2205824242794765/zesty-saloon/,0,1,1,0,0,,,,,,,,양식,9,,
205,보다버거,4,https://www.instagram.com/explore/locations/100769431890638/,0,1,1,0,0,,,,,,,,기타,2,,
206,트와블루,4,https://www.instagram.com/explore/locations/303978983321783/,1,0,1,1,0,,,,,,,,합계,20,,
207,다포케,4,https://www.instagram.com/explore/locations/104802147724804/,1,0,1,0,0,,,,,,,,,,,
208,메종 파이프그라운드,4,https://www.instagram.com/explore/locations/100581562440168/maison-pipeground/,1,1,1,0,0,,,,,,,,,,,
209,보울룸,4,https://www.instagram.com/explore/locations/104317818304694/,1,0,1,1,0,,,,,,,,,,,
210,누메로도스,4,https://www.instagram.com/explore/locations/1486603594779363/,0,1,0,0,0,,,,,,,,,,,
